City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,trujillo,-8.116,-79.03,22.98,83,20,4.12,PE,1686441385
328,argo,37.6333,22.7333,20.99,68,83,1.08,GR,1686441385
329,kailua-kona,19.6406,-155.9956,27.98,83,75,5.66,US,1686441118
330,verkhnevilyuysk,63.4453,120.3167,21.08,72,67,3.63,RU,1686441386
331,poso,-1.3959,120.7524,27.46,78,59,1.76,ID,1686441386
332,linxia chengguanzhen,35.6003,103.2064,18.97,43,100,1.27,CN,1686441386
333,bandon,51.7469,-8.7425,15.77,99,100,2.19,IE,1686441386
334,rongelap,11.1635,166.8941,27.82,81,100,7.53,MH,1686441056
335,myitkyina,25.3833,97.4,23.95,99,99,0.82,MM,1686441386
336,antsiranana,-12.2787,49.2917,23.34,76,5,5.24,MG,1686441386
337,awjilah,29.1081,21.2869,25.31,35,0,2.51,LY,1686441387
338,medicine hat,50.0501,-110.6683,28.24,41,40,4.63,CA,1686441023
339,pont rouge,48.8833,-72.0825,15.16,82,79,1.96,CA,1686441387
340,labasa,-16.4167,179.3833,26.24,68,99,3.78,FJ,1686441387
341,cabo san lucas,22.8909,-109.9124,33.67,58,2,6.93,MX,1686441089
342,geraldton,-28.7667,114.6,15.23,94,75,2.57,AU,1686441034
343,beni mellal,32.3373,-6.3498,21.06,67,74,0.85,MA,1686441387
344,princeville,45.7668,-61.2985,10.92,92,100,3.6,CA,1686441387
345,kabompo,-13.5927,24.2008,13.59,55,3,1.7,ZM,1686441387
346,katabu,-4.9333,122.5167,26.84,82,100,3.28,ID,1686441388
347,bubaque,11.2833,-15.8333,27.98,76,56,3.39,GW,1686441388
348,nagqu,31.5,92.0,4.73,72,90,1.05,CN,1686441064
349,niquelandia,-14.4739,-48.4597,22.96,54,59,0.87,BR,1686441388
350,puerto baquerizo moreno,-0.9,-89.6,25.88,78,95,7.35,EC,1686441035
351,weno,7.4515,151.8468,27.97,89,100,4.12,FM,1686441115
352,queenstown,-31.8976,26.8753,6.89,57,0,2.96,ZA,1686441088
353,lerwick,60.1545,-1.1494,12.0,84,77,9.42,GB,1686441094
